id	rate
21203	0.063
21205	0.079
21207	0.25
21209	0.14
21211	0.08
21213	0.099
21215	0.077
21217	0.105
21219	0.156
21221	0.042
21223	0.037
21225	0.056
21227	0.543
21229	0.046
21231	0.016
21233	0.057
21235	0.057
21237	0.013
21239	0.085
22001	0.425
22003	0.173
22005	0.606
22007	0.255
22009	0.102
22011	0.422
22013	0.08
22015	1.037
22017	1.807
22019	1.116
22021	0.087
22023	0.084
22025	0.162
22027	0.18
22029	0.138
22031	0.112
22033	2.511
22035	0.031
22037	0.11
22039	0.174
22041	0.141
22043	0.124
22045	0.428
22047	0.156
22049	0.116
22051	3.918
22053	0.329
22055	1.977
22057	1.48
22059	0.18
22061	0.304
22063	0.647
22065	0.07
22067	0.174
22069	0.326
22071	5.753
22073	0.756
22075	0.331
22077	0.184
22079	0.93
22081	0.126
22083	0.044
22085	0.254
22087	0.194
22089	0.374
22091	0.149
22093	0.072
22095	0.517
22097	0.471
22099	0.084
22101	0.632
22103	2.017
22105	1.663
22107	0.028
22109	1.88
22111	0.119
22113	0.347
22115	0.51
22117	0.493
22119	0.606
22121	0.206
22123	0.073
22125	0.015
22127	0.063
23001	0.697
23003	0.485
23005	2.786
23007	0.111
23009	0.667
23011	1.068
23013	0.447
23015	0.165
23017	0.175
23019	1.431
23021	0.049
23023	0.259
23025	0.232
23027	0.372
23029	0.104
23031	1.394
24001	0.227
24003	3.241
24005	4.532
24009	0.348
24011	0.645
24013	0.532
24015	0.383
24017	0.562
24019	0.307
24021	1.015
24023	0.184
24025	0.878
24027	0.992
24029	0.224
24031	6.178
24033	4.012
24035	0.194
24037	0.457
24039	0.155
24041	0.185
24043	0.883
24045	0.733
24047	0.45
24510	5.824
25001	1.395
25003	1.01
25005	2.238
25007	0.363
25009	6.158
25011	0.529
25013	1.56
25015	1.437
25017	16.604
25019	0.252
25021	4.079
25023	2.061
25025	9.052
25027	3.899
26001	0.037
26003	0.057
26005	0.544
26007	0.244
26009	0.082
26011	0.071
26013	0.049
26015	0.17
26017	0.634
26019	0.038
26021	0.765
26023	0.253
26025	0.695
26027	0.158
26029	0.145
26031	0.147
26033	0.155
26035	0.157
26037	0.318
26039	0.049
26041	0.247
26043	0.118
26045	0.411
26047	0.251
26049	1.184
26051	0.033
26053	0.081
26055	0.873
26057	0.141
26059	0.199
26061	0.365
26063	0.131
26065	3.423
26067	0.232
26069	0.087
26071	0.04
26073	0.569
26075	0.898
26077	1.384
26079	0.071
26081	3.355
26083	0.007
26085	0.031
26087	0.361
26089	0.132
26091	0.395
26093	0.848
26095	0.012
26097	0.174
26099	2.653
26101	0.086
26103	0.428
26105	0.252
26107	0.311
26109	0.136
26111	0.598
26113	0.069
